Title,Price
The Legend of Zelda: Ocarina of Time,"91,99 €"
Super Mario Galaxy,"91,99 €"
Super Mario Galaxy 2,"91,99 €"
Metroid Prime,"89,99 €"
Super Mario Odyssey,"89,99 €"
Halo: Combat Evolved,"87,99 €"
The House in Fata Morgana - Dreams of the Revenants Edition -,"83,99 €"
NFL 2K1,"62,99 €"
Uncharted 2: Among Thieves,"88,99 €"
Tekken 3,"91,99 €"
The Legend of Zelda: The Wind Waker,"90,99 €"
Gran Turismo,"86,99 €"
Metal Gear Solid 2: Sons of Liberty,"88,99 €"
Grand Theft Auto Double Pack,"81,99 €"
Baldur's Gate II: Shadows of Amn,"91,99 €"
Tetris Effect: Connected,"88,99 €"
The Legend of Zelda Collector's Edition,"89,99 €"
Gran Turismo 3: A-Spec,"84,99 €"
The Legend of Zelda: A Link to the Past,"90,99 €"
The Legend of Zelda: Majora's Mask,"91,99 €"
The Last of Us,"92,99 €"
Persona 5 Royal,"84,99 €"
The Last of Us Remastered,"92,99 €"
The Legend of Zelda: Ocarina of Time 3D,"90,99 €"
Chrono Cross,"88,99 €"
Gears of War,"84,99 €"
Sid Meier's Civilization II,"88,99 €"
Halo 3,"81,99 €"
Ninja Gaiden Black,"88,99 €"
Super Mario Advance 4: Super Mario Bros. 3,"89,99 €"
Jet Grind Radio,"83,99 €"
Grim Fandango,"91,99 €"
Resident Evil Code: Veronica,"85,99 €"
Diablo,"87,99 €"
Metal Gear Solid 3: Subsistence,"91,99 €"
Metal Gear Solid 4: Guns of the Patriots,"88,99 €"
Sid Meier's Civilization IV,"82,99 €"
Virtua Fighter 4,"81,99 €"
Super Mario 64,"91,99 €"
Super Smash Bros. Brawl,"88,99 €"
Company of Heroes,"87,99 €"
Gran Turismo 2,"90,99 €"
The Last of Us Part II,"57,99 €"
Half-Life: Alyx,"92,99 €"
Divinity: Original Sin II,"88,99 €"
Unreal Tournament 2004,"88,99 €"
God of War II,"90,99 €"
Super Mario 3D World,"89,99 €"
Starcraft II: Wings of Liberty,"83,99 €"
Minecraft,"80,99 €"
Persona 4 Golden,"86,99 €"
Persona 5,"87,99 €"
Quake III Arena,"83,99 €"
Homeworld,"88,99 €"
Gears of War 2,"79,99 €"
World Soccer Winning Eleven 6 International,"84,99 €"
Skies of Arcadia,"88,99 €"
The Legend of Zelda: Skyward Sword,"81,99 €"
Mario Kart Super Circuit,"78,99 €"
Test Drive Le Mans,"83,99 €"
NBA 2K1,"72,99 €"
